"id","epa_x","epa_y","map_x","map_y"
"6096","3214174","1419723","1048525.371","387909.28"
"6097","3215755","1419445","1047130.635","389424.788"
"6098","3215326","1419507","1047894.63","390171.453"
"6099","3215270","1419723","1047113.656","389384.637"
"6100","3214366","1418861","1047956.64","389926.689"
"6101","3214299","1418549","1047570.359","389322.841"
"6102","3209915","1420238","1048055.093","387868.753"
"6103","3213886","1418361","1048800.367","389995.516"
"6104","3214115","1419145","1048552.717","387843.463"
"6105","3214265","1417896","1048522.041","389234.846"
"6106","3215152","1418919","1047001.985","387972.389"
"6107","3215315","1418735","1046862.81","388070.397"
"6108","3216151","1419487","1047156.407","389242.347"
"6109","3215939","1418434","1046957.873","388566.298"
"6110","3215393","1418136","1046887.543","388037.605"
"6111","3214734","1417584","1047281.32","387691.788"
"6112","3215401","1417803","1046043.974","389263.079"
"6113","3216071","1417812","1047741.378","388042.995"
"6114","3216687","1417705","1047355.429","389501.942"
"6115","3216419","1417335","1046931.329","388552.369"
"6116","3218457","1411676","1048405.356","388931.76"
"6117","3218697","1411406","1047233.463","388556.15"
"6118","3217836","1412909","1048760.806","389910.88"
"6119","3217173","1412899","1047323.027","389501.694"
"6120","3217492","1412572","1048411.373","388306.629"
"6121","3217751","1412329","1048173.068","387845.061"
"6122","3218241","1413414","1048482.816","388210.299"
"6123","3218086","1412694","1047761.494","388538.718"
"6124","3218117","1411950","1047370.83","387428.743"
"6125","3216744","1413424","1047617.547","387894.358"
"6126","3218427","1414319","1048468.589","388756.126"
"6127","3219090","1414375","1047118.159","389425.002"
"6128","3216923","1413145","1047681.932","388192.996"
"6129","3218839","1414454","1047337.261","388096.626"
"6130","3217750","1413857","1047469.69","388327.454"
"6131","3216937","1414033","1047712.511","388119.524"
"6132","3216262","1414325","1047999.473","388932.622"
"6133","3216156","1414967","1046977.567","388093.552"
"6134","3218086","1414634","1046721.021","387192.106"
"6135","3217527","1414345","1046949.906","388552.178"
"6136","3217782","1417332","1048201.647","388055.518"
"6137","3217698","1414574","1049089.86","388423.701"
"6138","3218483","1415758","1046995.128","387183.568"
"6139","3216362","1414041","1046776.547","389327.449"
"6140","3216554","1413755","1048167.04","390260.064"
"6141","3216948","1416688","1048141.793","389351.48"
"6142","3218656","1417061","1049041.483","388565.195"
"6143","3214302","1417260","1047559.409","388525.258"
"6144","3213951","1416016","1047234.968","388558.015"
"6145","3219041","1418496","1047228.257","387491.398"
"6146","3217876","1418483","1048091.11","390279.648"
"6147","3218769","1418376","1048085.217","387967.098"
"6148","3214196","1415722","1048116.409","388622.978"
"6149","3215011","1416320","1047805.667","389599.941"
"6150","3218181","1417637","1048548.381","387885.469"
"6151","3218542","1417539","1047480.423","388617.753"
"6152","3219051","1418140","1047168.054","388689.528"
"6153","3214855","1415816","1046972.332","388036.156"
"6154","3215377","1416107","1047052.681","388301.6"
"6156","3214362","1416405","1047003.69","389962.42"
"6157","3214521","1415482","1047221.566","388476.917"
"6158","3218906","1417973","1048769.457","388349.546"
"6159","3215170","1414815","1047257.38","388409.214"
"6160","3218634","1418494","1047901.484","389516.6"
"6161","3215050","1416717","1049048.476","387896.303"
"6178","3215653","1416860","1047364.057","389216.156"
"6179","3218724","1417742","1048079.832","390114.235"
"6199","3218702","1417722","1047505.607","388344.024"
"6200","3218533","1417657","1048161.55","390311.846"
"6201","3218888","1417949","1047003.707","389961.02"
"6202","3219062","1417678","1047783.8","388766.199"
"6203","3214797","1415161","1047136.741","388035.356"
"6204","3215347","1415646","1047476.817","388196.406"
"6205","3216667","1417388","1048039.635","389823.962"
"6206","3217689","1417058","1047678.101","389015.7"
"6207","3215918","1416285","1048835.576","389937.981"
"6208","3218226","1418309","1046988.386","388775.466"
"6209","3215825","1415348","1047124.314","389424.762"
"6210","3218799","1417456","1048188.078","387620.76"
"6211","3217552","1417427","1047158.968","387955.316"
"6212","3216231","1415559","1047876.667","388889.955"
"6213","3216522","1416016","1047933.459","389538.754"
"6214","3215517","1415119","1046970.839","388055.113"
"6215","3218620","1418125","1047646.064","388724.236"
"6216","3218265","1418487","1047580.936","389318.41"
"6217","3218648","1414207","1048665.705","389800.508"
"6218","3219035","1412031","1047916.822","389633.658"
"6219","3218998","1412611","1047942.152","389515.998"
"6220","3218794","1412675","1048720.345","389061.539"
"6221","3218618","1412804","1047841.049","390271.061"
"6222","3218823","1413225","1048428.807","388963.626"
"6223","3218223","1412889","1047110.957","389405.527"
"6224","3218366","1413112","1046556.518","387626.439"
"6225","3217524","1413204","1048673.29","388522.415"
"6226","3219086","1413432","1048489.069","388056.861"
"6227","3218003","1413665","1047401.918","388789.762"
"6228","3218370","1413739","1047259.733","388143.515"
"6229","3219676","1411848","1047274.277","388402.174"
"6230","3223487","1412425","1047573.723","389671.655"
"6231","3225817","1410926","1048614.326","387909.201"
"6232","3225976","1411377","1048975.248","387913.839"
"6233","3226391","1411161","1048910.344","388205.32"
"6234","3226197","1411564","1048034.082","388932.783"
"6235","3226311","1411864","1047990.219","388924.92"
"6236","3226139","1412119","1048511.073","387912.818"
"6237","3225755","1412420","1046077.87","389063.96"
"6238","3225170","1412053","1047218.281","388177.773"
"6239","3224881","1412131","1047137.503","389425.312"
"6240","3225490","1412882","1048590.961","387865.685"
"6241","3225813","1412727","1048234.163","388462.254"
"6242","3226093","1413046","1047525.29","388136.281"
"6243","3225956","1413313","1047375.719","389045.931"
"6244","3225630","1413205","1047180.567","389395.666"
"6245","3226203","1413422","1048237.511","388670.81"
"6246","3226176","1413713","1048462.791","388953.209"
"6247","3226725","1414143","1047556.956","388472.365"
"6248","3226847","1414479","1048232.876","389089.711"
"6249","3226583","1414575","1048483.98","388961.225"
"6250","3226653","1415750","1048096.219","387382.552"
"6251","3226742","1416138","1047504.171","388170.655"
"6252","3227111","1416846","1047295.041","388477.147"
"6253","3220914","1411616","1048549.646","387948.493"
"6255","3221303","1411807","1048191.361","388377.558"
"6256","3221949","1411812","1048205.009","388378.446"
"6257","3221825","1412061","1048191.603","388377.872"
"6258","3221576","1411941","1048543.605","388433.344"
"6259","3221700","1412313","1048086.9","390102.163"
"6260","3221976","1412448","1047541.591","387997.131"
"6261","3220791","1411867","1047113.235","389385.227"
"6262","3221181","1412058","1047266.849","387343.275"
"6263","3221181","1412729","1048028.577","387821.945"
"6264","3221429","1412854","1047491.337","388610.892"
"9001","3221440","1413506","1047652.495","388087.977"
"9002","3221174","1413366","1046008.263","389749.864"
"9003","3220816","1413458","1048609.041","388462.887"
"9004","3221034","1413020","1047239.274","389242.149"
"9005","3222605","1413447","1047371.483","389047.501"
"9006","3223463","1413879","1047757.532","389653.877"
"9017","3221327","1412440","1047214.773","388215.606"
"9018","3220669","1412117","1047337.869","389751.572"
"9019","3221059","1412307","1048202.12","388604.811"
"9020","3222248","1412580","1047101.074","388193.135"
"9021","3223488","1413043","1047829.98","388677.492"
"9022","3222774","1412833","1048970.282","387877.086"
"11004","3222895","1412584","1048207.528","388404.772"
"11005","3222621","1412452","1047055.063","387765.96"
"11006","3222372","1412329","1046952.448","388073.987"
"11007","3221978","1413131","1048521.22","388970.047"
"11009","3222229","1413257","1048117.27","389935.762"
