"id","epa_x","epa_y","map_x","map_y"
"112251","1396070.36","427415.12","772029.946","391179.113"
"112258","1393500.43","427419.04","771831.97","391630.17"
"112273","1396411.58","427360.23","771977.579","390966.194"
"112285","1395114.37","427325.96","772059.696","391163.129"
"112300","1391069.82","427285.59","771743.46","391639.06"
"112307","1396339.95","427249.02","772529.14","391134.1"
"112325","1396672.79","427163.73","771617.935","391878.539"
"112327","1392233.68","427156.48","772830.81","392140.04"
"112338","1391333.11","427131.49","772010.244","391030.391"
"112340","1391397.34","427123.59","772622.055","391576.694"
"112354","1391928.42","427034.12","771237.825","391612.078"
"112364","1391725.14","426980.4","771817.486","391127.464"
"112368","1396023.26","426946.54","771615.736","391877.374"
"112379","1392726.46","426930.23","772517.77","390981.67"
"112382","1395803.97","426926.52","771822.404","391891.206"
"112395","1393675.49","426877.51","772806.199","392319.1"
"112400","1392776.13","426830.7","771845.194","391455.236"
"112412","1392499.52","426776.61","771927.286","391467.997"
"112415","1393873.7","426777.67","771759.71","391909.82"
"112422","1396061.2","426730.57","772298.43","392341.19"
"112424","1393723.57","426728.17","771293.698","391412.155"
"112427","1396204.22","426705.95","772554.094","392035.919"
"112431","1396203.32","426695.69","772457.924","391842.775"
"112432","1396323.25","426690.12","771605.704","391879.329"
"112435","1391898.96","426691.41","772085.435","391719.798"
"112438","1391517.74","426684.35","772144.573","391582.945"
"112445","1392863.49","426662.57","771935.678","391137.287"
"112447","1393307.16","426643.9","772859.11","391040.87"
"112457","1391517.84","426649.73","772305.185","391286.552"
"112469","1392373.54","426580.97","772026.125","391075.748"
"112473","1395837.35","426577.65","772099.22","392153.66"
"112510","1393622.51","426406.21","772831.106","391631.739"
"112528","1393917.05","426315.9","772503.667","392371.285"
"112550","1392163.71","426224.66","772763.369","392266.286"
"112553","1392678.26","426216.13","771973.286","391524.359"
"112558","1392136.53","426194.13","772546.286","391163.933"
"112559","1392740.24","426180.06","772688.811","391528.846"
"112565","1395499.49","426165.94","771987.964","390964.178"
"112570","1393728","426140.69","771942.448","391406.463"
"112576","1393434.64","426110.69","772030.067","391178.599"
"112588","1395600.88","426056.03","772596.079","391828.324"
"112613","1395422.42","425876.37","772760.18","392455.591"
"112615","1393779.2","425848.87","771211.85","391626.66"
"112617","1394043.13","425831.79","771840.662","391449.329"
"112637","1396759.43","425689.74","772803.277","392338.536"
