  Page 1                                    Thu Aug  2 22:27:11 2018

  ******************************************************************
  *                           E P A N E T                          *
  *                   Hydraulic and Water Quality                  *
  *                   Analysis for Pipe Networks                   *
  *                         Version 2.00.12                        *
  ******************************************************************
  
  Scenario: Average Day  
  Date: 8/16/2016 4:09:48 PM  
   
      Input Data File ................... ../Data/final_input.inp
      Number of Junctions................ 299
      Number of Reservoirs............... 1
      Number of Tanks ................... 0
      Number of Pipes ................... 316
      Number of Pumps ................... 0
      Number of Valves .................. 2
      Headloss Formula .................. Hazen-Williams
      Hydraulic Timestep ................ 15.00 min
      Hydraulic Accuracy ................ 0.001000
      Status Check Frequency ............ 3
      Maximum Trials Checked ............ 10
      Damping Limit Threshold ........... 0.000000
      Maximum Trials .................... 40
      Quality Analysis .................. None
      Specific Gravity .................. 1.00
      Relative Kinematic Viscosity ...... 1.00
      Relative Chemical Diffusivity ..... 1.00
      Demand Multiplier ................. 1.00
      Total Duration .................... 30.00 min
      Reporting Criteria:
         All Nodes
         All Links
   
   
  Hydraulic Status:
  -----------------------------------------------------------------------
     0:00:00: Balanced after 8 trials
     0:00:00: Reservoir 329219 is emptying
   
     0:15:00: Balanced after 11 trials
     0:15:00: PRV 294718 changed from active to open
   
     0:30:00: Balanced after 1 trials
   
   
  Node Results at 0:00:00 hrs:
  ----------------------------------------------
                     Demand      Head  Pressure
  Node                  gpm        ft       psi
  ----------------------------------------------
  183889               9.85      0.06      0.01
  184240               0.31      0.01      0.00
  184513               3.49      0.04      0.00
  184533              -2.55      0.03      0.00
  185922               8.23      0.05      0.00
  186466              -5.82      0.07      0.01
  186932               8.06      0.05      0.00
  187099               5.21      0.03      0.00
  187760               6.49      0.04      0.00
  187798               4.95      0.06      0.00
  187831               0.39      0.02      0.00
  188736               3.44      0.02      0.00
  188759               2.11      0.01      0.00
  189108               5.17      0.06      0.01
  189509               7.42      0.05      0.00
  189798             -11.46      0.07      0.01
  190055               1.65      0.02      0.00
  190065               0.49      0.02      0.00
  190082               2.08      0.09      0.03
  190103              -2.97      0.02      0.00
  190148               0.87      0.04      0.01
  190359               0.83      0.04      0.01
  190375            -141.15      0.23      0.01
  191104              11.53      0.03      0.00
  191141              -0.22      0.00      0.00
  191349              -1.95      0.02      0.00
  191926              -0.59      0.00      0.00
  191973               0.47      0.00      0.00
  192337              12.57      0.08      0.00
  193948              -1.71      0.01      0.00
  194063               1.05      0.05      0.01
  194408             -11.14      0.07      0.01
  194598              -2.30      0.10      0.04
  195346              -4.38      0.05      0.00
  195626               3.76      0.02      0.00
  195662              -2.32      0.03      0.00
  196093               0.68      0.03      0.00
  196299               1.11      0.05      0.01
  196979               1.86      0.01      0.00
  197217               3.74      0.04      0.00
  197420               1.94      0.02      0.00
  197433             -11.46      0.07      0.01
  197530               1.07      0.05      0.01
  197756              -0.70      0.01      0.00
  197924              -3.24      0.04      0.00
  198273               6.82      0.04      0.00
  198617            -115.76      0.18      0.01
  198716               0.96      0.01      0.00
  198980              -8.09      0.05      0.00
  199197               3.35      0.02      0.00
  199425              22.24      0.06      0.00
  199623               1.91      0.02      0.00
  200989               0.10      0.00      0.00
  201266               1.46      0.02      0.00
  202587              41.10      0.07      0.00
  202720              13.56      0.09      0.01
  202812               0.35      0.00      0.00
  202906               2.04      0.02      0.00
  203220               2.72      0.03      0.00
  203413              -0.99      0.01      0.00
  204299               1.08      0.01      0.00
  204411               5.08      0.03      0.00
  204605               0.61      0.03      0.00
  205327               1.84      0.02      0.00
  206577               5.12      0.03      0.00
  207223              -4.06      0.05      0.00
  208053               0.82      0.01      0.00
  208177               3.00      0.03      0.00
  208867              44.11      0.07      0.00
  208926               0.96      0.01      0.00
  209334               2.36      0.02      0.00
  209600               0.00      0.00      0.00
  209681              -0.11      0.00      0.00
  209689               4.43      0.05      0.00
  210414               0.84      0.04      0.01
